"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for June 2022"
"Prepared at 16:02 UTC on Tuesday 16 August 2022   IDCJDW5081.202206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-06-1,7.5,15.2,1.8,,,SW,31,00:09,11.6,71,,S,2,1019.1,13.2,64,,WSW,15,1019.8
,2022-06-2,8.7,13.7,0,,,N,24,13:31,10.3,69,,NE,13,1020.6,13.3,58,,N,11,1016.7
,2022-06-3,10.0,14.1,0,,,NNW,35,13:54,10.6,89,,N,13,1013.3,13.0,89,,NNW,13,1009.9
,2022-06-4,10.2,15.9,4.0,,,NW,61,20:00,13.1,84,,NW,20,1011.1,14.5,75,,NNW,24,1007.6
,2022-06-5,9.6,12.7,43.0,,,WSW,69,09:29,11.7,84,,NW,20,1002.1,12.0,64,,W,24,1001.0
,2022-06-6,8.2,14.0,12.4,,,W,43,05:20,12.0,66,,WSW,22,1013.6,13.4,64,,W,20,1013.5
,2022-06-7,9.8,14.8,7.4,,,WSW,37,05:02,11.4,83,,S,6,1018.1,12.6,69,,SSE,9,1019.0
,2022-06-8,4.8,14.4,0.4,,,W,26,13:41,8.6,90,,NNE,7,1025.8,13.3,65,,WSW,13,1023.9
,2022-06-9,8.6,15.4,0,,,WSW,31,11:00,12.8,60,,SSW,13,1025.3,13.5,66,,WSW,17,1023.8
,2022-06-10,10.4,15.5,2.8,,,SW,28,12:11,12.0,94,,SE,4,1025.9,14.8,60,,SW,15,1024.5
,2022-06-11,9.7,14.5,0.6,,,WSW,26,14:18,11.5,91,, ,Calm,1026.9,13.7,65,,WSW,13,1025.5
,2022-06-12,11.3,15.3,0,,,SW,28,11:54,12.5,70,,SSE,6,1025.8,13.4,67,,SW,15,1023.3
,2022-06-13,10.6,15.9,0,,,NNE,30,13:29,11.3,66,,ENE,7,1024.7,15.1,55,,N,13,1020.9
,2022-06-14,10.7,17.4,0,,,N,46,12:22,12.5,59,,NNE,15,1017.8,16.9,46,,NNW,19,1012.6
,2022-06-15,11.9,16.2,4.4,,,NW,35,09:14,14.2,92,,NW,17,1014.3,15.1,80,,WSW,17,1014.9
,2022-06-16,11.1,16.6,4.4,,,WSW,24,14:05,12.9,88,, ,Calm,1022.6,14.9,74,,WSW,11,1021.7
,2022-06-17,12.1,16.0,0.4,,,WNW,19,12:53,12.8,87,,NNE,11,1025.3,14.7,63,,WNW,4,1023.8
,2022-06-18,10.1,18.0,0,,,N,30,10:49,13.3,57,,NNE,13,1025.3,17.7,47,,NNW,13,1022.5
,2022-06-19,12.9,16.1,0,,,NNE,33,12:50,13.2,58,,NE,13,1020.1,15.0,61,,NNE,19,1016.6
,2022-06-20,11.4,15.9,2.0,,,NNW,46,12:26,12.3,79,,N,17,1016.7,12.6,88,,WNW,13,1015.6
,2022-06-21,8.6,15.8,3.8,,,NNW,30,13:35,11.3,88,,NNE,7,1022.5,14.6,74,,NW,17,1022.2
,2022-06-22,11.2,16.8,6.6,,,W,31,12:48,13.5,100,,NNW,13,1026.6,15.8,81,,NW,17,1025.4
,2022-06-23,11.3,18.8,0,,,NNW,46,14:25,13.4,74,,NNE,13,1024.1,17.8,57,,NNW,22,1018.8
,2022-06-24,13.2,15.8,0.4,,,WSW,28,10:46,14.3,84,,SW,7,1019.3,15.3,65,,WSW,9,1018.5
,2022-06-25,9.0,16.5,0.2,,,WNW,31,13:41,11.6,93,,NNE,7,1022.7,15.9,65,,NW,19,1022.0
,2022-06-26,9.7,15.5,1.6,,,SSW,33,16:28,12.1,93,,NE,2,1027.5,14.5,73,,SW,15,1027.9
,2022-06-27,4.0,14.9,0.2,,,NE,19,22:32,9.3,92,, ,Calm,1035.8,13.7,61,,W,11,1033.0
,2022-06-28,7.7,15.5,0,,,NE,28,07:16,10.8,57,,NE,13,1029.9,15.1,49,,N,13,1025.6
,2022-06-29,8.4,14.3,0,,,WSW,33,16:30,10.6,59,,NNE,13,1022.9,13.3,86,,NW,11,1019.8
,2022-06-30,8.6,15.7,4.4,,,S,30,12:48,11.9,83,,SSW,7,1024.3,15.3,59,,SSE,13,1025.8
