"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for May 2022"
"Prepared at 13:02 UTC on Wednesday 17 August 2022   IDCJDW5081.202205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-05-1,12.4,21.0,0,,,WNW,26,11:27,15.0,66,,N,9,1025.3,20.5,58,,W,11,1022.4
,2022-05-2,11.8,22.9,0.2,,,NNW,26,13:16,16.5,77,,NNE,9,1023.3,22.2,43,,WNW,9,1019.6
,2022-05-3,10.8,23.3,0,,,NW,41,12:08,16.5,57,,N,13,1017.3,22.7,38,,NNW,20,1013.4
,2022-05-4,12.4,16.8,5.8,,,SW,39,13:34,14.7,60,,SW,19,1017.8,16.1,49,,SW,20,1018.0
,2022-05-5,7.3,15.0,7.4,,,S,39,14:12,11.1,74,,NW,6,1022.4,12.8,60,,SE,9,1020.9
,2022-05-6,5.9,15.8,6.0,,,S,33,13:56,10.0,83,,E,7,1022.9,14.9,57,,SW,11,1021.4
,2022-05-7,7.7,17.6,1.6,,,WSW,31,15:38,11.3,71,,NNE,13,1025.7,16.0,64,,W,11,1024.5
,2022-05-8,11.2,17.3,1.4,,,WSW,15,15:25,13.2,84,,N,4,1028.7,16.6,62,,W,7,1025.9
,2022-05-9,10.4,20.6,0,,,ENE,20,00:35,14.7,49,,NNE,11,1028.1,19.4,42,,WSW,11,1026.1
,2022-05-10,6.3,19.7,0,,,ESE,22,12:02,14.8,58,, ,Calm,1028.8,18.9,34,,E,9,1024.7
,2022-05-11,8.4,22.5,0,,,E,28,15:03,15.8,66,,W,6,1023.6,22.0,39,,E,13,1018.8
,2022-05-12,10.6,18.5,0,,,ESE,19,21:03,16.7,76,, ,Calm,1017.4,17.3,75,,SSW,7,1015.2
,2022-05-13,14.1,22.2,0,,,NNE,35,23:40,16.8,75,,NE,9,1015.1,19.9,61,,NNE,9,1012.0
,2022-05-14,16.7,22.0,0.2,,,W,41,14:15,18.5,65,,NNW,19,1011.1,21.0,57,,W,17,1010.9
,2022-05-15,12.8,20.8,0.2,,,WNW,50,15:39,15.3,88,,NNW,13,1014.1,16.4,85,,W,15,1012.8
,2022-05-16,12.2,17.0,3.2,,,W,41,06:05,14.8,76,,W,13,1017.6,16.6,64,,W,20,1017.5
,2022-05-17,9.8,16.9,1.6,,,SW,35,21:49,11.7,93,,NNW,9,1023.0,15.5,71,,WNW,15,1021.2
,2022-05-18,11.6,17.3,1.6,,,SSW,28,11:43,14.8,73,,S,7,1025.8,16.7,52,,SW,17,1025.4
,2022-05-19,6.5,17.4,0,,,E,19,10:57,12.5,76,, ,Calm,1030.8,15.8,50,,ESE,9,1029.1
,2022-05-20,5.2,17.5,0,,,ENE,26,15:03,12.5,63,,NNW,6,1031.9,16.8,43,,ENE,15,1028.9
,2022-05-21,7.4,18.9,0,,,E,30,14:01,13.0,54,,SSE,4,1030.5,17.6,50,,ESE,13,1026.3
,2022-05-22,8.6,22.0,0,,,NNE,26,15:28,15.3,76,, ,Calm,1027.4,21.5,42,,NNE,11,1024.0
,2022-05-23,14.1,23.2,0,,,NE,28,11:23,16.1,64,,NE,9,1025.8,22.5,37,,ENE,11,1022.5
,2022-05-24,13.4,21.3,0,,,NNE,39,14:09,16.2,67,,ENE,17,1022.6,20.5,42,,NNE,19,1018.6
,2022-05-25,14.5,17.7,2.8,,,NNW,37,13:49,14.6,90,,NNE,13,1015.8,17.1,82,,NNW,17,1012.8
,2022-05-26,13.0,18.1,6.4,,,WSW,24,12:48,14.3,99,, ,Calm,1017.5,17.1,70,,WSW,13,1017.6
,2022-05-27,10.5,15.8,0.2,,,N,20,10:52,12.6,92,,NE,9,1020.8,14.4,86,,WSW,9,1017.8
,2022-05-28,9.9,16.8,2.2,,,WSW,33,13:26,12.2,87,,N,9,1017.3,16.1,72,,SSW,11,1013.9
,2022-05-29,8.9,19.0,3.4,,,NNE,41,22:18,11.4,81,,NE,13,1010.1,18.3,47,,N,13,1001.1
,2022-05-30,11.1,15.8,35.0,,,SSW,52,13:17,12.7,90,,W,13,984.7,14.7,68,,S,19,993.8
,2022-05-31,10.6,13.9,7.6,,,W,59,03:44,12.5,61,,SW,22,1006.9,12.6,59,,WSW,22,1009.0
